Company Name,Product Name,Smallest Quantity,Price 1,Largest Quantity,Price 2,Rating,Total Reviews,Written Reviews,Product Formulation,Skin Type,Main Ingredients,Product Type,Established On,Paraben ,Mineral Oil ,Vegan,Fragrance,Category,Ingredient List
It's Skin,Power 10 Formula LI Effector,30,1190,,,4.5,179,53,Fluid,Normal,"Gingko_Biloba_Leaf,Hyaluronic_Acid",Serum,2006,,,No,No,Rejuvenating,"Water, Propanediol, Butylene Glycol, Glycerin, 1,2 Hexanediol, Glycyrrhiza Glabra (Licorice) Root Extract, Glycereth 26, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Betaine, Caprylyl/Capryl Glucoside, Polyglyceryl 10 Laurate, Dipropylene Glycol, Chamomilla Recutita (Matricaria) Flower Extract, Sodium Hyaluronate, Xanthan Gum, Disodium Edta, Polyglyceryl 10 Oleate, Juni Perus Mexicana Oil, Rosa Damascena Flower Oil, Dipotassium Glycyrrhizate, Pogostemon Cablin Oil, Vetiveria Zizanoides Root Oil, Guai Azulene, Beta Glucan, Polyglutamic Acid"
It's Skin,Power 10 Formula VE Effector,30,1190,,,4.3,45,18,Fluid,Dry,"Ceramide,Amino_Acid,Vitamin-B5",Serum,2006,,,No,No,Moisturization,
It's Skin,V7 Hyaluronic Moisturizer,50,1790,,,0,0,0,Gel Cream,Oily,"Hyaluronic_Acid,Niacinamide",Moisturizer,2006,,,No,No,Brightning,"Purified water, glycerin, dipropylene glycol, caprylic/capric triglyceride, niacinamide, sodium hyaluronate, lactobacillus/rye flour fermentation filtrate, lactobacillus/soy milk fermentation filtrate, bacillus/soybean Fermentation extract, polyacid, pantothenic acid, pyridoxine, thiamine HCL, cyanocobalamin, riboflavin, propanediol, acrylate/C10-30 alkyl acrylate crosspolymer, arginine, limonene, ammonium acryloyldimethyl Taurate/Vpicopolymer, Caprylyl/Capryl Glucoside, Glyceryl Caprylate, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Adenosine, Polyglyceryl-10 Oleate, Philippine Orange Peel Oil, 1,2 -Hexanediol, disodium EDTA, orange peel oil, bergamot oil, caprylyl glycol, linalool, raspberry ketone, cornmint oil"
It's Skin,Collatoning Cream,50,1190,,,3.6,8,2,Creamy,All,"Collagen,Hyaluronic_Acid",Moisturizer,2006,,,No,No,Moisturization,
It's Skin,Power 10 Formula CO Effector,30,1190,,,4.2,38,12,Fluid,All,"Collagen,Peptide",Serum,2006,,,No,No,Rejuvenating,"Water, Glycerin, Dimethicone, 1,2 Hexanediol, Collagen Extract, Butylene Glycol, Propanediol, Caprylyl/Capryl Glucoside, Dimethicone/Inyl Dimethicone Crosspolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Polyacrylate, Polyglyceryl 10 La Urate, Cetearyl Olivate, Sorbitan Olivate, Glyceryl Caprylate, Xanthan Gum, Dipropy Lene Glycol, Ethylhexylglycerin, Polygly Ceryl 10 Oleate, Adenosine, Disodium Edta, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Betaine, Rosa Da Mascena Flower Oil, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Ace Tyl Hexapeptide 8, Palmitoyl Tetrapeptide 7"
It's Skin,Blue Snail Serum,40,1790,,,0,0,0,Gel,Oily,"Snail,Niacinamide",Serum,2006,,,No,No,Brightning,"Purified water, butylene glycol, snail slime filtrate, glycereth-26, niacinamide, 1,2-hexanediol, betaine, adenosine, Indian mulberry leaf extract, Indian mulberry flower extract, Centella asiatica extract, Spanish licorice root extract, holy basil leaf extract, true coral horse extract, turmeric root extract, dipotassium glycyrrhizate, matricaria flower extract, ceramide NP, panthenol, guaiazulene, meadowfoam seed oil, carbomer, Dipropylene glycol, tromethamine, hydroxyethyl acrylate/sodium acryloyldimethyltaurate copolymer, hydroxyacetophenone, caprylyl glycol, polyglyceryl-10 oleate, polyglyceryl- 3-Methyl Glucose Distearate, Hydrogenated Lecithin, Ivy God Fruit Extract, Disodium EDTA, Eggplant Fruit Extract, Aloe Vera Flower Extract"
It's Skin,Power 10 Formula PO Effector,30,1190,,,4.1,45,22,Fluid,Oily,Salicyclic_Acid,Serum,2006,,,No,No,Soothing,"Water, Methylpropanediol, Butylene Glycol, Glycerin, 1,2 Hexanediol, C1315 Alkane, Houttuynia Cordata Extract, Am Monium Acryloyldimethyltaurate/Nvp Copoly Mer, Propylene Glycol, Caprylyl/capryl Glu Coside, Carbomer, Polyglyceryl 10 Laurate, Xanthan Gum, Tromethamine, Sodium Phytate, Dipropylene Glycol, Polyglyceryl 10 Oleate, Schizandra Chinensis Fruit Extract, Pyrus Co Mmunis (Pear) Fruit Extract, Melia Azadirac Hta Leaf Extract, Eclipta Prostrata Extract, Rosa Damascena Flower Water, Iris Florenti Na Root Extract, Cucumis Melo (Melon) Fruit Extract, Melia Azadirachta Flower Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Melale Uca Alternifolia (Tea Tree) Leaf Extract, Oci Mum Basilicum (Basil) Oil, Rosa Damascena Flower Oil, Citric Acid, Salix Alba (Willow) Bark Extract, Salicylic Acid"
It's Skin,Power 10 Formula Powerful Genius Serum,50,2690,,,0,0,0,Fluid,All,"Lactobacillus,Bifida",Serum,2006,,,No,No,Brightning,
It's Skin,Power 10 Formula Powerful Genius Serum In Toner,255,2290,,,1,2,1,Fluid,All,"Lactobacillus,Bifida,Betaine",Toner,2006,,,No,No,Brightning,
It's Skin,Power 10 Formula GF Effector,30,1990,,,4.6,37,11,Fluid,Normal,"Gingko_Biloba_Leaf,Hyaluronic_Acid",Serum,2006,,,No,No,Soothing,"Water, Glycerin, Pentylene Glycol Butylene Glycol, Ginkgo Biloba Leaf Water, Methyl Gluceth 20, Methylpropanediol, 1, 2 Hexanediol, Ammonium Acryloyldimethyltauratenp Copolymer, Caprylyl/Capryl Glucoside, Acrylates/C10, 30 Alkyl Acrylate Crosspolymer, Polyglyceryl 10 Laurate, Tromethamine, Polyglyceryl 10 Oleate, Sodium Phy Tate, Sodium Hyaluronate, Melia Azadirachta Leaf Extract, Pyrus Communis (Pear) Fruit Extract, Melia Azadirachta Flower Extract, Santalum Album (San Dalwood) Oil, Rosa Damascena Flower Water, Cocci Nia Indica Fruit Extract, Iris Florentina Root Extr Act, Cucumis Melo (Melon) Fruit Extract, Hedera He Lix (Ny) Leaf/Stem Extract, Aloe Barbadensis Flower Extract, Hydroxypropyltrimonium Hyaluronate, So Lanum Melongena (Eggplant) Fruit Extract, Hydro Lyzed Sodium Hyaluronate, Ocimum Sanctum Leaf Extract, Artemisia Vulgaris Oil, Corallina Officina Lis Extract, Curcuma Longa (Turmeric) Root Extra Ct, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Sodium Hyaluron Ate Crosspolymer, Potassium Hyaluronate"
It's Skin,Power 10 Formula Propolis,30,1190,,,4.4,26,7,Fluid,All,Propolis,Serum,2006,,,No,No,Soothing,"Water, Glycerin, Dimethicone, 1,2 Hexanediol, Collagen Extract, Butylene Glycol, Propanediol, Caprylyl/Capryl Glucoside, Dimethicone/Vinyl Dimethicone Crosspolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Polyacrylate, Polyglyceryl 10 Laurate, Cetearyl Olivate, Sorbitan Olivate, Glyceryl Caprylate, Xanthan Gum, Propylene Glycol, Ethylhexylglycerin, Polyglyceryl 10 Oleate, Adenosine, Disodium Edta, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Betaine, Rosa Damascena Flower Oil, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Acetyl Hexapeptide 8, Palmitoyl Tetrapeptide 7"
It's Skin,V7 Hyaluronic Toner,150,1490,,,0,0,0,Fluid,All,"Hyaluronic_Acid,Niacinamide",Toner,2006,,,No,No,Brightning,"Purified water, butylene glycol, glycerin, niacinamide, dipropylene glycol, betaine, sodium hyaluronate, lactobacillus / rye flour fermentation product, lactobacillus / soy milk fermentation filtrate, bacillus / soybean fermentation extract , Folic Acid, Pantothenic Acid, Pyridoxine, Thiamine HCL, Cyanocobalamin, Riboflavin, PPG-26-Buteth-26, Hydroxyacetophenone, PEG-40 Hydrogenated Castor Oil, Caprylyl Gly kohl, limonene, allantoin, adenosine, sodium citrate, propanediol, 1,2-hexanediol, disodium EDTA, citric acid, Philippine orange peel oil, orange peel oil, bergamot oil, dipotassium glyceryl Zate, gluconolactone, ethylhexylglycerin, raspberry ketone, cornmint oil"
It's Skin,Power 10 Formula Powerful Genius Cream,45,2690,,,4.7,3,0,Gel Cream,All,"Lactobacillus,Bifida",Moisturizer,2006,,,No,No,Brightning,
It's Skin,V7 Hyaluronic Cleanser,150,1490,,,0,0,0,Creamy,Dry,"Hyaluronic_Acid,Niacinamide",Cleanser,2006,,,No,No,Nourishing,"Purified water, glycerin, potassium cocoyl glycinate, disodium laureth sulfosuccinate, lauryl hydroxysulfane, potassium cocoate, acrylate/C10-30 alkyl acrylate crosspolymer, 1,2-hexanediol , tromethamine, sodium hyaluronate, lactobacillus/rye flour fermented product, lactobacillus/soy milk fermented filtrate, bacillus/soybean fermented extract, niacinamide, polyacid, pantothenic acid, pyridoxine, thiaminhcl , Cyanocobalamin, Riboflavin, Dipropylene Glycol, Sodium Chloride, Limonene, Hydroxyacetophenone, Caprylyl Glycol, Propanediol, Philippine Orange Peel Oil, Disodium EDTA, Orange Peel Oil, Bergamot Oil, dipotassium glycyrrhizate, raspberry ketone, ethylhexylglycerin, cornmint oil"
It's Skin,Peptide Collagen Toner,150,1490,,,0,0,0,Fluid,All,"Collagen,Peptide",Toner,2006,,,No,No,Rejuvenating,"Purified water, butylene glycol, glycerin, collagen extract, oat peptide, dipropylene glycol, neopentyl glycol diheptanoate, 1,2-hexanediol, caprylyl/capryl glucoside, hydroxyaceto Phenone, polyglyceryl-10 laurate, carbomer, caprylyl glycol, tromethamine, tocopheryl acetate, adenosine, polyglyceryl-10 oleate, xanthan gum, disodium EDTA, Mexican juniper oil, Pear extract, Indian mulberry flower extract, Indian mulberry leaf extract, dipotassium glycyrrhizate, Damask rose flower water, orris root extract, Damask rose flower oil, betaine, melon extract, western pine leaf/ Stem extract, ivy gourd fruit extract, true coral horse extract, gwanggwakhyang oil, vetiver root oil"
It's Skin,Collatoning Toner,150,1190,,,4.9,9,0,Fluid,All,"Collagen,Snow_Lotus,Camellia",Toner,2006,,,No,No,Nourishing,
ma:nyo,Pure Cleansing Oil,25,750,400,3900,4.4,67,10,Oil,All,"Argan_Oil,Olive_Oil,Camellia",Cleansing Oil,2012,No,No,Yes,No,Deep Cleansing,"Glycine Soja (Soybean) Oil, Corylus Avellana (Hazel) Seed Oil, Sorbeth-30 Tetraoleate, Vitis Vinifera (Grape) Seed Oil, Olea Europaea (Olive) Fruit Oil, Caprylic/Capric Triglyceride, Squalane, Isoamyl Laurate, Camellia Japonica Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Argania Spinosa Kernel Oil, Orbignya Oleifera Seed Oil, Saponaria Officinalis Leaf Extract, Camellia Sinensis Leaf Extract, Oryza Sativa (Rice) Bran Oil, Rice Ferment Filtrate (Sake), Decyl glucoside, Ginkgo Biloba Leaf Extract, Lavandula Angustifolia (Lavender) Oil, Aloe Barbadensis Leaf Extract, Citrus Aurantium Dulcis (Orange) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Tocopherol"
ma:nyo,Bifida Biome Complex Ampoule,12,750,50,2850,4.6,26,3,Fluid,All,"Bifida,Hyaluronic_Acid,Probiotic",Serum,2012,No,No,Yes,No,Rejuvenating,"Bifida Ferment Lysate, Butylene Glycol, Bifida Ferment Filtrate, Lactobacillus Ferment Lysate, Lactococcus Ferment Lysate, Saccharomyces Ferment Filtrate, Glycerin, Niacinamide, 1,2-Hexanediol, Lactobacillus/Pumpkin Fruit Ferment Filtrate, Aureobasidium Pullulans Ferment, Hyaluronic Acid, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Acetylated Hyaluronate, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hydroxypropyltrimonium Hyaluronate, Leontopodium Alpinum Callus Culture Extract, Cutibacterium Granulosum Ferment Extract Filtrate(5,000 ppm), Asiaticoside, Asiatic Acid, Madecassic Acid, Pentylene Glycol, Squalane, Hydrogenated Lecithin, Copper Tripeptide-1, Tromethamine, Acetyl Hexapeptide-8, Propanediol, Ethylhexylglycerin, Dextrin, Water, Caffeine, Benzyl Glycol, Sodium Phytate, Hydrolyzed Algin, Xanthan Gum, Epigallocatechin Gallate, Carbomer, Physalis Alkekengi Calyx Extract, Hydrolyzed Glycosaminoglycans, Polyglyceryl-10 Laurate, Theobroma Cacao (Cocoa) Seed Extract, Adenosine, Contains 72% bifida ferment content(Bifida Ferment Lysate, Bifida Ferment Filtrate)"
ma:nyo,Pure & Deep Cleansing Foam,20,750,200,1450,4.2,17,4,Creamy,All,"Ylang_Ylang,Rose,Ceramide,Hyaluronic_Acid",Cleanser,2012,No,No,Yes,No,Nourishing,"Glycerin, Water, Myristic Acid, Stearic Acid, Lauric Acid, Potassium Cocoate, Potassium Hydroxide, Potassium Cocoyl Glycinate, Palmitic Acid, Sodium Hyaluronate, Butylene Glycol, Lavandula Angustifolia (Lavender) Flower Water, Borago Officinalis Extract, Centaurea Cyanus Flower Extract, Salvia Sclarea (Clary) Extract, Hyacinthus Orientalis (Hyacinth) Extract, Ceramide NP, Chamomilla Recutita (Matricaria) Flower/Leaf Extract, Hydrogenated Lecithin, Nelumbo Nucifera Flower Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Nymphaea Alba Flower Extract, Prunus Serrulata Flower Extract, Rosa Hybrid Flower Extract, 1,2-Hexanediol, Coco-Glucoside, Glyceryl Stearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Cocoyl Isethionate, Oleic Acid, Caprylic/Capric Triglyceride, Ethylhexylglycerin, Quillaja Saponaria Bark Extract, Carthamus Tinctorius (Safflower) Flower Extract, Chrysanthellum Indicum Extract, Arachidic Acid, Sodium Phytate, Polyquaternium-7, Rosa Damascena Flower Oil, Pelargonium Graveolens Flower Oil, Cananga Odorata Flower Oil, Citric Acid, Potassium Sorbate, Sodium Benzoate, Citrus Aurantium Dulcis (Orange) Peel Oil, Helianthus Annuus (Sunflower) Seed Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil"
